2025-04-08 01:22:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:22:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:22:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:22:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:22:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:24:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:24:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:24:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:24:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:24:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:43:19 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:43:27 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:15 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:21 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:45 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:47 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:50 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:44:54 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:45:04 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:45:24 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:45:27 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:46:03 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:46:08 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:46:36 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:48:41 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:49:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:49:27 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:49:58 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:42 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:42 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:42 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 02:53:42 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:22 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:22 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:22 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:22 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:30 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:32 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:32 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:32 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:32 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:53 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:53 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:53 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:14:53 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 03:16:12 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
